SUID	abundance	AverageShortestPathLength	BetweennessCentrality	class	ClosenessCentrality	ClusteringCoefficient	degree	Eccentricity	family	genus	isafeature	IsSingleNode	kingdom	Label	lineage	name	negdegree	NeighborhoodConnectivity	NumberOfDirectedEdges	NumberOfUndirectedEdges	order	oriID	PartnerOfMultiEdgedNodePairs	phylum	posdegree	Radiality	samplecount	selected	SelfLoops	shared.name	species	Stress	taxon	TopologicalCoefficient	unknowndegree
2088	175.602.451.346.518	201.681.759	9.9e-07	none	0.49583066	0.84848485	12	4	none	none	no	FALSE	Bacteria	Firmicutes	Bacteria--Firmicutes	Firmicutes	5	26.641.666.667	12	0	none	Firmicutes	0	Firmicutes	7	0.7457956	145	FALSE	0	Firmicutes	none	562	Firmicutes	0.35569648	0
1604	0.456980470365259	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Unclassified	OTU-BV5denovo25047	Unclassified--OTU_BV5denovo25047	OTU-BV5denovo25047	5	605	5	0	none	OTU-BV5denovo25047	0	none	0	0.74320828	120	FALSE	0	OTU-BV5denovo25047	none	562	OTU_BV5denovo25047	0.81292059	0
1533	0.597366822121832	202.716.688	9.9e-07	Dothideomycetes	0.4932993	0	5	4	Davidiellaceae	none	no	FALSE	Fungi	Davidiellaceae	Fungi--Ascomycota--Dothideomycetes--Capnodiales--Davidiellaceae	Davidiellaceae	5	605	5	0	Capnodiales	Davidiellaceae	0	Ascomycota	0	0.74320828	91	FALSE	0	Davidiellaceae	none	562	Davidiellaceae	0.81292059	0
1492	0.135420624694577	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo420366	Bacteria--OTU_BV5denovo420366	OTU-BV5denovo420366	5	605	5	0	none	OTU-BV5denovo420366	0	none	0	0.74320828	52	FALSE	0	OTU-BV5denovo420366	none	562	OTU_BV5denovo420366	0.81292059	0
1448	0.597366822121832	202.716.688	9.9e-07	Dothideomycetes	0.4932993	0	5	4	Davidiellaceae	Cladosporium	no	FALSE	Fungi	Cladosporium	Fungi--Ascomycota--Dothideomycetes--Capnodiales--Davidiellaceae--Cladosporium	Cladosporium	5	605	5	0	Capnodiales	Cladosporium	0	Ascomycota	0	0.74320828	91	FALSE	0	Cladosporium	none	562	Cladosporium	0.81292059	0
1324	0.175247413734516	202.716.688	9.9e-07	Dothideomycetes	0.4932993	0	5	4	Pleosporaceae	Alternaria	no	FALSE	Fungi	OTU-FITS2denovo192	Fungi--Ascomycota--Dothideomycetes--Pleosporales--Pleosporaceae--Alternaria--OTU_FITS2denovo192	OTU-FITS2denovo192	5	605	5	0	Pleosporales	OTU-FITS2denovo192	0	Ascomycota	0	0.74320828	35	FALSE	0	OTU-FITS2denovo192	none	562	OTU_FITS2denovo192	0.81292059	0
1164	0.25940742810951	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo331375	Bacteria--OTU_BV5denovo331375	OTU-BV5denovo331375	5	605	5	0	none	OTU-BV5denovo331375	0	none	0	0.74320828	80	FALSE	0	OTU-BV5denovo331375	none	562	OTU_BV5denovo331375	0.81292059	0
1136	0.202575227557446	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo23279	Bacteria--OTU_BV5denovo23279	OTU-BV5denovo23279	5	605	5	0	none	OTU-BV5denovo23279	0	none	0	0.74320828	58	FALSE	0	OTU-BV5denovo23279	none	562	OTU_BV5denovo23279	0.81292059	0
934	0.526640187556141	201.034.929	9.9e-07	none	0.497426	0.92647059	17	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo240846	Bacteria--OTU_BV5denovo240846	OTU-BV5denovo240846	5	19.464.705.882	17	0	none	OTU-BV5denovo240846	0	none	12	0.74741268	121	FALSE	0	OTU-BV5denovo240846	none	562	OTU_BV5denovo240846	0.25987591	0
922	0.948879386626986	200.258.732	9.9e-07	none	0.49935401	0.95238095	21	3	none	none	no	FALSE	Bacteria	OTU-BV5denovo3363	Bacteria--OTU_BV5denovo3363	OTU-BV5denovo3363	5	16.166.666.667	21	0	none	OTU-BV5denovo3363	0	none	16	0.74935317	159	FALSE	0	OTU-BV5denovo3363	none	562	OTU_BV5denovo3363	0.21555556	0
